"","Well","WellName","WellType","Replicate","ThresholddRn","CtdRn","Quantitycopies","RSqdRn","SlopedRn","MONISprojectno","AssayID","speciesabbr","season","qpcrrundate","gen_specnm","Genus","species","dk_comnm","Wellname.season.no1","gen_specnm.season","Harbour","Coll_date","volfilt_mL","declat","declon","Harbour.Welltype","col.06","copies_per_mLwater","copies_per_Lwater","copies_per_Lwater_plone","log.10_copies_L"
"259","C1","std5e4","Standard",18,0.057,22.89,50000,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e4.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"260","C2","std5e4","Standard",18,0.057,23.57,50000,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e4.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"261","C3","std5e4","Standard",18,0.057,22.56,50000,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e4.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"262","D1","std5e3","Standard",19,0.057,26.03,5000,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e3.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"263","D2","std5e3","Standard",19,0.057,25.77,5000,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e3.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"264","D3","std5e3","Standard",19,0.057,25.75,5000,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e3.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"265","E1","std5e2","Standard",20,0.057,28.34,500,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e2.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"266","E2","std5e2","Standard",20,0.057,28.47,500,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e2.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"267","E3","std5e2","Standard",20,0.057,27.95,500,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e2.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"268","F1","std5e1","Standard",21,0.057,31.41,50,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e1.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"269","F2","std5e1","Standard",21,0.057,31.62,50,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e1.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"270","F3","std5e1","Standard",21,0.057,31.43,50,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e1.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"271","G1","std5e0","Standard",22,0.057,33.49,5,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e0.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"272","G2","std5e0","Standard",22,0.057,33.91,5,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e0.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"273","G3","std5e0","Standard",22,0.057,32.73,5,"0.986","-2.615","MONIS3","AssID02","Promin","foraar","qpcrrundate20180522","Prorocentrum_minimum","Prorocentrum","minimum","dinoflagelat","std5e0.foraar.1","Prorocentrum_minimum.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"352","C4","smpl02","Unknown",2,0.0879,36.18,3.32,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl02.efteraar.1","Pseudochattonella_farcimen.efteraar","Aarhus","2017.sep.19",1000,56.1597,10.2301,"Aarhus.Unknown","#FF0000",0.2324,232.4,233.4,2.36810085170935
"354","C5","smpl02","Unknown",2,0.0879,37.08,1.59,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl02.efteraar.1","Pseudochattonella_farcimen.efteraar","Aarhus","2017.sep.19",1000,56.1597,10.2301,"Aarhus.Unknown","#FF0000",0.1113,111.3,112.3,2.05037975626146
"356","C6","smpl02","Unknown",2,0.0879,38.04,0.7333,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl02.efteraar.1","Pseudochattonella_farcimen.efteraar","Aarhus","2017.sep.19",1000,56.1597,10.2301,"Aarhus.Unknown","#FF0000",0.051331,51.331,52.331,1.71875903380965
"358","D4","smpl03","Unknown",3,0.0879,34.64,11.45,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl03.efteraar.1","Pseudochattonella_farcimen.efteraar","Aalborgportland","2017.oct.11",2500,57.0514,9.9319,"Aalborgportland.Unknown","#00FF1E",0.3206,320.6,321.6,2.50731604007641
"360","D5","smpl03","Unknown",3,0.0879,34.97,8.81,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl03.efteraar.1","Pseudochattonella_farcimen.efteraar","Aalborgportland","2017.oct.11",2500,57.0514,9.9319,"Aalborgportland.Unknown","#00FF1E",0.24668,246.68,247.68,2.3938909390028
"362","D6","smpl03","Unknown",3,0.0879,35.13,7.72,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl03.efteraar.1","Pseudochattonella_farcimen.efteraar","Aalborgportland","2017.oct.11",2500,57.0514,9.9319,"Aalborgportland.Unknown","#00FF1E",0.21616,216.16,217.16,2.33677983298364
"364","E4","smpl04","Unknown",4,0.0879,35.35,6.49,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl04.efteraar.1","Pseudochattonella_farcimen.efteraar","AalborgHavn","2017.oct.11",1000,57.0514,9.9319,"AalborgHavn.Unknown","#00FF78",0.4543,454.3,455.3,2.65829765030819
"366","E5","smpl04","Unknown",4,0.0879,33.99,19.39,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl04.efteraar.1","Pseudochattonella_farcimen.efteraar","AalborgHavn","2017.oct.11",1000,57.0514,9.9319,"AalborgHavn.Unknown","#00FF78",1.3573,1357.3,1358.3,3.13299570069227
"368","E6","smpl04","Unknown",4,0.0879,35.97,3.91,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl04.efteraar.1","Pseudochattonella_farcimen.efteraar","AalborgHavn","2017.oct.11",1000,57.0514,9.9319,"AalborgHavn.Unknown","#00FF78",0.2737,273.7,274.7,2.43885865942056
"370","F4","smpl05","Unknown",5,0.0879,31.9,105.6,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl05.efteraar.1","Pseudochattonella_farcimen.efteraar","Fredericia","2017.oct.11",1000,55.5579,9.7489,"Fredericia.Unknown","#00FFD2",7.392,7392,7393,3.86882070619752
"372","F5","smpl05","Unknown",5,0.0879,31.75,119.1,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl05.efteraar.1","Pseudochattonella_farcimen.efteraar","Fredericia","2017.oct.11",1000,55.5579,9.7489,"Fredericia.Unknown","#00FFD2",8.337,8337,8338,3.92106189079028
"374","F6","smpl05","Unknown",5,0.0879,31.71,122.9,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl05.efteraar.1","Pseudochattonella_farcimen.efteraar","Fredericia","2017.oct.11",1000,55.5579,9.7489,"Fredericia.Unknown","#00FFD2",8.603,8603,8604,3.93470040171542
"376","G4","smpl06","Unknown",6,0.0879,31.81,113.6,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl06.efteraar.1","Pseudochattonella_farcimen.efteraar","Frederikshavn","2017.oct.06",3000,57.4421,10.5622,"Frederikshavn.Unknown","#00D2FF",2.65066666666667,2650.66666666667,2651.66666666667,3.42351892926294
"378","G5","smpl06","Unknown",6,0.0879,31.54,141.2,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl06.efteraar.1","Pseudochattonella_farcimen.efteraar","Frederikshavn","2017.oct.06",3000,57.4421,10.5622,"Frederikshavn.Unknown","#00D2FF",3.29466666666667,3294.66666666667,3295.66666666667,3.51794327943648
"380","G6","smpl06","Unknown",6,0.0879,31.98,98.37,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl06.efteraar.1","Pseudochattonella_farcimen.efteraar","Frederikshavn","2017.oct.06",3000,57.4421,10.5622,"Frederikshavn.Unknown","#00D2FF",2.2953,2295.3,2296.3,3.36102862581367
"388","C7","smpl08","Unknown",8,0.0879,26.75,6767,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl08.efteraar.1","Pseudochattonella_farcimen.efteraar","Grenaa","2017.sep.19",1000,56.4126,10.9332,"Grenaa.Unknown","#FF5A00",473.69,473690,473691,5.67549513332946
"390","C8","smpl08","Unknown",8,0.0879,26.84,6286,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl08.efteraar.1","Pseudochattonella_farcimen.efteraar","Grenaa","2017.sep.19",1000,56.4126,10.9332,"Grenaa.Unknown","#FF5A00",440.02,440020,440021,5.64347340368275
"392","C9","smpl08","Unknown",8,0.0879,27.05,5305,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl08.efteraar.1","Pseudochattonella_farcimen.efteraar","Grenaa","2017.sep.19",1000,56.4126,10.9332,"Grenaa.Unknown","#FF5A00",371.35,371350,371351,5.56978459775181
"394","D7","smpl09","Unknown",9,0.0879,31.22,182.4,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl09.efteraar.1","Pseudochattonella_farcimen.efteraar","Helsingoer","2017.sep.13",1000,56.0357,12.6176,"Helsingoer.Unknown","#001EFF",12.768,12768,12769,4.10615688696684
"396","D8","smpl09","Unknown",9,0.0879,31.47,149.3,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl09.efteraar.1","Pseudochattonella_farcimen.efteraar","Helsingoer","2017.sep.13",1000,56.0357,12.6176,"Helsingoer.Unknown","#001EFF",10.451,10451,10452,4.01919940105529
"398","D9","smpl09","Unknown",9,0.0879,33.23,35.9,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl09.efteraar.1","Pseudochattonella_farcimen.efteraar","Helsingoer","2017.sep.13",1000,56.0357,12.6176,"Helsingoer.Unknown","#001EFF",2.513,2513,2514,3.40036527334994
"400","E7","smpl10","Unknown",10,0.0879,37.98,0.7701,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl10.efteraar.1","Pseudochattonella_farcimen.efteraar","Hirtshals","2017.nov.08",600,57.5975,9.9772,"Hirtshals.Unknown","#FF005A",0.089845,89.845,90.845,1.95830102925367
"402","E8","smpl10","Unknown",10,0.0879,36.25,3.14,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl10.efteraar.1","Pseudochattonella_farcimen.efteraar","Hirtshals","2017.nov.08",600,57.5975,9.9772,"Hirtshals.Unknown","#FF005A",0.366333333333333,366.333333333333,367.333333333333,2.5650603397961
"404","E9","smpl10","Unknown",10,0.0879,35.69,4.92,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl10.efteraar.1","Pseudochattonella_farcimen.efteraar","Hirtshals","2017.nov.08",600,57.5975,9.9772,"Hirtshals.Unknown","#FF005A",0.574,574,575,2.75966784468963
"406","F7","smpl11","Unknown",11,0.0879,33.11,39.49,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl11.efteraar.1","Pseudochattonella_farcimen.efteraar","Kalundborg","2017.sep.22",1000,55.6773,11.073,"Kalundborg.Unknown","#FF00B4",2.7643,2764.3,2765.3,3.44174225364325
"408","F8","smpl11","Unknown",11,0.0879,33.11,39.65,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl11.efteraar.1","Pseudochattonella_farcimen.efteraar","Kalundborg","2017.sep.22",1000,55.6773,11.073,"Kalundborg.Unknown","#FF00B4",2.7755,2775.5,2776.5,3.44349767780859
"410","F9","smpl11","Unknown",11,0.0879,32.95,45,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl11.efteraar.1","Pseudochattonella_farcimen.efteraar","Kalundborg","2017.sep.22",1000,55.6773,11.073,"Kalundborg.Unknown","#FF00B4",3.15,3150,3151,3.498448403174
"412","G7","smpl12","Unknown",12,0.0879,26.62,7493,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl12.efteraar.1","Pseudochattonella_farcimen.efteraar","Koebenhavn","2017.sep.12",1650,55.6652,12.5702,"Koebenhavn.Unknown","#3C00FF",317.884848484848,317884.848484848,317885.848484848,5.50227119459694
"414","G8","smpl12","Unknown",12,0.0879,26.79,6514,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl12.efteraar.1","Pseudochattonella_farcimen.efteraar","Koebenhavn","2017.sep.12",1650,55.6652,12.5702,"Koebenhavn.Unknown","#3C00FF",276.351515151515,276351.515151515,276352.515151515,5.44146342155558
"416","G9","smpl12","Unknown",12,0.0879,27,5527,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl12.efteraar.1","Pseudochattonella_farcimen.efteraar","Koebenhavn","2017.sep.12",1650,55.6652,12.5702,"Koebenhavn.Unknown","#3C00FF",234.478787878788,234478.787878788,234479.787878788,5.37010541254777
"418","B10","smpl13","Unknown",13,0.0879,35.6,5.29,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl13.efteraar.1","Pseudochattonella_farcimen.efteraar","Odense","2017.sep.15",800,55.4101,10.378,"Odense.Unknown","#FFB400",0.462875,462.875,463.875,2.66640096735684
"420","B11","smpl13","Unknown",13,0.0879,35.59,5.31,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl13.efteraar.1","Pseudochattonella_farcimen.efteraar","Odense","2017.sep.15",800,55.4101,10.378,"Odense.Unknown","#FFB400",0.464625,464.625,465.625,2.66803629009237
"422","B12","smpl13","Unknown",13,0.0879,34.8,10.07,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl13.efteraar.1","Pseudochattonella_farcimen.efteraar","Odense","2017.sep.15",800,55.4101,10.378,"Odense.Unknown","#FFB400",0.881125,881.125,882.125,2.94553013044219
"424","C10","smpl14","Unknown",14,0.0879,39.91,0.1622,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl14.efteraar.1","Pseudochattonella_farcimen.efteraar","Roedby","2017.sep.23",200,54.6541,11.3461,"Roedby.Unknown","#F0FF00",0.05677,56.77,57.77,1.76170236754141
"430","D10","smpl15","Unknown",15,0.0879,28.36,1841,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl15.efteraar.1","Pseudochattonella_farcimen.efteraar","KalundborgStatiolHavn","2017.sep.22",1000,55.6643,11.0736,"KalundborgStatiolHavn.Unknown","#9600FF",128.87,128870,128871,5.11015519852523
"432","D11","smpl15","Unknown",15,0.0879,28.34,1874,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl15.efteraar.1","Pseudochattonella_farcimen.efteraar","KalundborgStatiolHavn","2017.sep.22",1000,55.6643,11.0736,"KalundborgStatiolHavn.Unknown","#9600FF",131.18,131180,131181,5.11787093722943
"434","D12","smpl15","Unknown",15,0.0879,28.31,1912,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl15.efteraar.1","Pseudochattonella_farcimen.efteraar","KalundborgStatiolHavn","2017.sep.22",1000,55.6643,11.0736,"KalundborgStatiolHavn.Unknown","#9600FF",133.84,133840,133841,5.12658917282029
"442","B1","std5e5","Standard",17,0.0879,21.42,5e+05,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e5.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"444","B2","std5e5","Standard",17,0.0879,21.64,5e+05,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e5.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"446","B3","std5e5","Standard",17,0.0879,21.25,5e+05,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e5.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"448","C1","std5e4","Standard",18,0.0879,24.56,50000,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e4.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"450","C2","std5e4","Standard",18,0.0879,24.1,50000,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e4.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"452","C3","std5e4","Standard",18,0.0879,24.12,50000,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e4.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"454","D1","std5e3","Standard",19,0.0879,27.38,5000,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e3.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"456","D2","std5e3","Standard",19,0.0879,26.88,5000,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e3.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"458","D3","std5e3","Standard",19,0.0879,27.29,5000,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e3.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"460","E1","std5e2","Standard",20,0.0879,29.86,500,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e2.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"462","E2","std5e2","Standard",20,0.0879,30.28,500,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e2.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"464","E3","std5e2","Standard",20,0.0879,29.33,500,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e2.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"466","F1","std5e1","Standard",21,0.0879,32.59,50,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e1.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"468","F2","std5e1","Standard",21,0.0879,33.44,50,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e1.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"470","F3","std5e1","Standard",21,0.0879,32.72,50,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e1.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"472","G1","std5e0","Standard",22,0.0879,36.48,5,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e0.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"474","G2","std5e0","Standard",22,0.0879,35.25,5,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e0.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"476","G3","std5e0","Standard",22,0.0879,35.26,5,"0.995","-2.849","MONIS3","AssID03","Psefar","efteraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","std5e0.efteraar.1","Pseudochattonella_farcimen.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"559","C4","smpl02","Unknown",2,0.1028,28.86,1473,"0.985","-2.962","MONIS3","AssID03","Psefar","foraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl02.foraar.1","Pseudochattonella_farcimen.foraar","Aarhus","2017.jul.05",2400,56.1597,10.2301,"Aarhus.Unknown","#FF0000",42.9625,42962.5,42963.5,4.63309965371503
"561","C5","smpl02","Unknown",2,0.1028,28.69,1686,"0.985","-2.962","MONIS3","AssID03","Psefar","foraar","qpcrrundate20180625","Pseudochattonella_farcimen","Pseudochattonella","farcimen","heterokontflagelat","smpl02.foraar.1","Pseudochattonella_farcimen.foraar","Aarhus","2017.jul.05",2400,56.1597,10.2301,"Aarhus.Unknown","#FF0000",49.175,49175,49176,4.6917532001128
