"","Well","WellName","WellType","Replicate","ThresholddRn","CtdRn","Quantitycopies","RSqdRn","SlopedRn","MONISprojectno","AssayID","speciesabbr","season","qpcrrundate","gen_specnm","Genus","species","dk_comnm","Wellname.season.no1","gen_specnm.season","Harbour","Coll_date","volfilt_mL","declat","declon","Harbour.Welltype","col.06","copies_per_mLwater","copies_per_Lwater","copies_per_Lwater_plone","log.10_copies_L"
"1580","F2","std5e1","Standard",21,0.024,31.49,50,"0.995","-3.179","MONIS3","AssID08","Colper","efteraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e1.efteraar.1","Colpomenia_peregrine.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1581","F3","std5e1","Standard",21,0.024,31.08,50,"0.995","-3.179","MONIS3","AssID08","Colper","efteraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e1.efteraar.1","Colpomenia_peregrine.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1582","G1","std5e0","Standard",22,0.024,35.03,5,"0.995","-3.179","MONIS3","AssID08","Colper","efteraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e0.efteraar.1","Colpomenia_peregrine.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1583","G2","std5e0","Standard",22,0.024,33.61,5,"0.995","-3.179","MONIS3","AssID08","Colper","efteraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e0.efteraar.1","Colpomenia_peregrine.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1584","G3","std5e0","Standard",22,0.024,34.89,5,"0.995","-3.179","MONIS3","AssID08","Colper","efteraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","std5e0.efteraar.1","Colpomenia_peregrine.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"1591","C4","smpl02","Unknown",2,0.0236,38.76,0.1818,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","smpl02.foraar.1","Colpomenia_peregrine.foraar","Aarhus","2017.jul.05",2400,56.1597,10.2301,"Aarhus.Unknown","#FF0000",0.0053025,5.3025,6.3025,0.799512854348484
"1618","F7","smpl11","Unknown",11,0.0236,36.15,1.16,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","smpl11.foraar.1","Colpomenia_peregrine.foraar","Kalundborg","2017.jul.03",1500,55.6773,11.073,"Kalundborg.Unknown","#FF00B4",0.0541333333333333,54.1333333333333,55.1333333333333,1.74141425049687
"1619","F8","smpl11","Unknown",11,0.0236,38.6,0.204,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","smpl11.foraar.1","Colpomenia_peregrine.foraar","Kalundborg","2017.jul.03",1500,55.6773,11.073,"Kalundborg.Unknown","#FF00B4",0.00952,9.52,10.52,1.02201573981772
"1620","F9","smpl11","Unknown",11,0.0236,36.34,1.02,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","smpl11.foraar.1","Colpomenia_peregrine.foraar","Kalundborg","2017.jul.03",1500,55.6773,11.073,"Kalundborg.Unknown","#FF00B4",0.0476,47.6,48.6,1.68663626926229
"1631","D11","smpl15","Unknown",15,0.0236,38.33,0.2463,"0.998","-3.235","MONIS3","AssID08","Colper","foraar","qpcrrundate20180522","Colpomenia_peregrine","Colpomenia","peregrine","oesterstyv","smpl15.foraar.1","Colpomenia_peregrine.foraar","KalundborgStatiolHavn","2017.jul.02",1500,55.6643,11.0736,"KalundborgStatiolHavn.Unknown","#9600FF",0.011494,11.494,12.494,1.09670150161
